Designator,Footprint,Quantity,Value,LCSC Part #
"J1_2, J1",PinHeader_1x19_P2.54mm_Horizontal,2,Conn_01x19_Pin,
"Q1_2, Q1, Q10_2, Q10, Q11_2, Q11, Q12_2, Q12, Q13_2, Q13, Q14_2, Q14, Q15_2, Q15, Q16_2, Q16, Q17_2, Q17, Q18_2, Q18, Q19_2, Q19, Q2_2, Q2, Q20_2, Q20, Q21_2, Q21, Q22_2, Q22, Q23_2, Q23, Q24_2, Q24, Q25_2, Q25, Q3_2, Q3, Q4_2, Q4, Q5_2, Q5, Q6_2, Q6, Q7_2, Q7, Q8_2, Q8, Q9_2, Q9",TO-92,50,NPN,
"R1_2, R1, R10_2, R10, R11_2, R11, R12_2, R12, R13_2, R13, R14_2, R14, R15_2, R15, R16_2, R16, R17_2, R17, R18_2, R18, R19_2, R19, R2_2, R2, R20_2, R20, R21_2, R21, R22_2, R22, R23_2, R23, R24_2, R24, R25_2, R25, R26_2, R26, R27_2, R27, R28_2, R28, R29_2, R29, R3_2, R3, R30_2, R30, R31_2, R31, R32_2, R32, R33_2, R33, R34_2, R34, R4_2, R4, R5_2, R5, R6_2, R6, R7_2, R7, R8_2, R8, R9_2, R9",0603,68,1k,
